File Name	LC Column	Sample Cleanup	MS Device	LCMS Method	MS Run Date	Digestion	Comment	Preparation Date	Fractionation Type	Fraction Name	Enrichment	Labeling Type	Pooling Label	Protein Barcode
example1.raw	HPLC	Desalting	THERMO_QEXACTIVE_PLUS	HCD_TOP12_130MIN	190729	Trypsin	some info	190728	Affinity_Enrichment	fraction 1	Displacement_Chromatography	18-O	heavy	barcode_placeholder
example2.raw	HPLC	Desalting	THERMO_QEXACTIVE_PLUS	HCD_TOP12_130MIN	190729	Trypsin	some info for fraction 2	190728	Affinity_Enrichment	fraction 2	Displacement_Chromatography	18-O	light	barcode_placeholder
example3.raw	HPLC	Desalting	THERMO_QEXACTIVE_PLUS	HCD_TOP12_130MIN	190729	Trypsin; Chymotrypsin	some info for digestion 2 fraction 1	190728	Affinity_Enrichment	fraction 1	Displacement_Chromatography	18-O	heavy	barcode_placeholder
example3.raw	HPLC	AEX	THERMO_QEXACTIVE_PLUS	HCD_TOP12_130MIN	190729	Trypsin; Chymotrypsin	some info for digestion 2 fraction 2	190728	Affinity_Enrichment	fraction 2	Displacement_Chromatography	18-O	light	barcode_placeholder
example4.raw	Direct infusion	AEX	THERMO_QEXACTIVE_PLUS	HCD_TOP12_130MIN	190730	Trypsin	some comment concerning this sample	190728			Displacement_Chromatography			barcode_placeholder
[[1	1510875604	Affinity_Enrichment_fraction 1_barcode_placeholder digest heavyTrypsin	Q_TEST_SAMPLE	[barcode_placeholder]	{Q_SAMPLE_TYPE=PEPTIDES, Q_EXTERNALDB_ID=Affinity_Enrichment_fraction 1_barcode_placeholder digest heavyTrypsin},
3	1510875604	Affinity_Enrichment_fraction 2_barcode_placeholder digest lightTrypsin	Q_TEST_SAMPLE	[barcode_placeholder]	{Q_SAMPLE_TYPE=PEPTIDES, Q_EXTERNALDB_ID=Affinity_Enrichment_fraction 2_barcode_placeholder digest lightTrypsin},
5	-841208831	Affinity_Enrichment_fraction 1_barcode_placeholder digest heavyTrypsin; Chymotrypsin	Q_TEST_SAMPLE	[barcode_placeholder]	{Q_SAMPLE_TYPE=PEPTIDES, Q_EXTERNALDB_ID=Affinity_Enrichment_fraction 1_barcode_placeholder digest heavyTrypsin; Chymotrypsin},
7	12454058	Affinity_Enrichment_fraction 2_barcode_placeholder digest lightTrypsin; Chymotrypsin	Q_TEST_SAMPLE	[barcode_placeholder]	{Q_SAMPLE_TYPE=PEPTIDES, Q_EXTERNALDB_ID=Affinity_Enrichment_fraction 2_barcode_placeholder digest lightTrypsin; Chymotrypsin},
8	-737935337	barcode_placeholder digestTrypsin	Q_TEST_SAMPLE	[barcode_placeholder]	{Q_SAMPLE_TYPE=PEPTIDES, Q_EXTERNALDB_ID=barcode_placeholder digestTrypsin}],
[2	-19382761		Q_MS_RUN	[1]	{Q_ADDITIONAL_INFO=some info, File=example1.raw},
4	-19382761		Q_MS_RUN	[3]	{Q_ADDITIONAL_INFO=some info for fraction 2, File=example2.raw},
6	1424648394		Q_MS_RUN	[5, 7]	{Q_ADDITIONAL_INFO=some info for digestion 2 fraction 1, File=example3.raw},
9	-1677998997		Q_MS_RUN	[8]	{Q_ADDITIONAL_INFO=some comment concerning this sample, File=example4.raw}]]
[-737935337 (Q_SAMPLE_PREPARATION): {Q_PREPARATION_DATE=28-07-2019, Q_MS_PURIFICATION_METHOD=AEX, Q_DIGESTION_METHOD=[Trypsin]},
12454058 (Q_SAMPLE_PREPARATION): {Fractionation_Enrichment_Placeholder=Affinity_Enrichment, Q_PREPARATION_DATE=28-07-2019, Q_MS_PURIFICATION_METHOD=AEX, Q_DIGESTION_METHOD=[Chymotrypsin, Trypsin], Q_LABELING_METHOD=18-O}, 1510875604 (Q_SAMPLE_PREPARATION): {Fractionation_Enrichment_Placeholder=Affinity_Enrichment, Q_PREPARATION_DATE=28-07-2019, Q_MS_PURIFICATION_METHOD=Desalting, Q_DIGESTION_METHOD=[Trypsin], Q_LABELING_METHOD=18-O}, -841208831 (Q_SAMPLE_PREPARATION): {Fractionation_Enrichment_Placeholder=Affinity_Enrichment, Q_PREPARATION_DATE=28-07-2019, Q_MS_PURIFICATION_METHOD=Desalting, Q_DIGESTION_METHOD=[Chymotrypsin, Trypsin], Q_LABELING_METHOD=18-O}]
[1424648394 (Q_MS_MEASUREMENT): {Q_MS_DEVICE=THERMO_QEXACTIVE_PLUS, Q_MS_LCMS_METHOD=HCD_TOP12_130MIN, Q_MEASUREMENT_FINISH_DATE=29-07-2019, Q_CURRENT_STATUS=FINISHED, Q_CHROMATOGRAPHY_TYPE=HPLC}, -1677998997 (Q_MS_MEASUREMENT): {Q_MS_DEVICE=THERMO_QEXACTIVE_PLUS, Q_MS_LCMS_METHOD=HCD_TOP12_130MIN, Q_MEASUREMENT_FINISH_DATE=30-07-2019, Q_CURRENT_STATUS=FINISHED, Q_CHROMATOGRAPHY_TYPE=Direct Injection}, -19382761 (Q_MS_MEASUREMENT): {Q_MS_DEVICE=THERMO_QEXACTIVE_PLUS, Q_MS_LCMS_METHOD=HCD_TOP12_130MIN, Q_MEASUREMENT_FINISH_DATE=29-07-2019, Q_CURRENT_STATUS=FINISHED, Q_CHROMATOGRAPHY_TYPE=HPLC}]
